Raw Feature,Feature,Direction,Coefficient
categorical__cp_0 categorical__ca_2,Chest Pain Type = 0 (Typical angina) x Number of Major Vessels = 2,Toward no heart disease,0.0
categorical__cp_0 categorical__slope_3,Chest Pain Type = 0 (Typical angina) x ST Slope = 3,Toward no heart disease,0.0
categorical__cp_0 categorical__slope_2,Chest Pain Type = 0 (Typical angina) x ST Slope = 2 (Downsloping),Toward no heart disease,0.0
categorical__cp_0 categorical__slope_1,Chest Pain Type = 0 (Typical angina) x ST Slope = 1 (Flat),Toward no heart disease,0.0
categorical__cp_0 categorical__slope_0,Chest Pain Type = 0 (Typical angina) x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
categorical__cp_0 categorical__exang_0,Chest Pain Type = 0 (Typical angina) x Exercise-Induced Angina = 0 (No),Toward no heart disease,0.0
categorical__cp_0 categorical__restecg_2,Chest Pain Type = 0 (Typical angina) x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward no heart disease,0.0
categorical__cp_0 categorical__restecg_1,Chest Pain Type = 0 (Typical angina) x Resting ECG Result = 1 (ST-T wave abnormality),Toward no heart disease,0.0
categorical__cp_0 categorical__restecg_0,Chest Pain Type = 0 (Typical angina) x Resting ECG Result = 0 (Normal),Toward no heart disease,0.0
categorical__cp_0 categorical__fbs_1,Chest Pain Type = 0 (Typical angina) x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward no heart disease,0.0
categorical__cp_0 categorical__fbs_0,Chest Pain Type = 0 (Typical angina) x Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward no heart disease,0.0
categorical__cp_0 categorical__cp_3,Chest Pain Type = 0 (Typical angina) x Chest Pain Type = 3 (Asymptomatic),Toward no heart disease,0.0
categorical__cp_0 categorical__cp_2,Chest Pain Type = 0 (Typical angina) x Chest Pain Type = 2 (Non-anginal pain),Toward no heart disease,0.0
categorical__cp_0 categorical__cp_1,Chest Pain Type = 0 (Typical angina) x Chest Pain Type = 1 (Atypical angina),Toward no heart disease,0.0
categorical__sex_1 categorical__thal_7,Sex = 1 (Male) x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__sex_1 categorical__thal_6,Sex = 1 (Male) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__sex_1 categorical__thal_3,Sex = 1 (Male) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
categorical__sex_1 categorical__thal_2,Sex = 1 (Male) x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
categorical__cp_1 categorical__fbs_1,Chest Pain Type = 1 (Atypical angina) x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward no heart disease,0.0
categorical__cp_1 categorical__restecg_1,Chest Pain Type = 1 (Atypical angina) x Resting ECG Result = 1 (ST-T wave abnormality),Toward no heart disease,0.0
numeric__oldpeak categorical__sex_1,Oldpeak x Sex = 1 (Male),Toward no heart disease,0.0
categorical__cp_1 categorical__restecg_2,Chest Pain Type = 1 (Atypical angina) x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward no heart disease,0.0
categorical__cp_2 categorical__slope_3,Chest Pain Type = 2 (Non-anginal pain) x ST Slope = 3,Toward no heart disease,0.0
categorical__cp_2 categorical__slope_2,Chest Pain Type = 2 (Non-anginal pain) x ST Slope = 2 (Downsloping),Toward no heart disease,0.0
categorical__cp_2 categorical__slope_1,Chest Pain Type = 2 (Non-anginal pain) x ST Slope = 1 (Flat),Toward no heart disease,0.0
categorical__cp_2 categorical__slope_0,Chest Pain Type = 2 (Non-anginal pain) x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
categorical__cp_2 categorical__exang_1,Chest Pain Type = 2 (Non-anginal pain) x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,0.0
categorical__cp_2 categorical__exang_0,Chest Pain Type = 2 (Non-anginal pain) x Exercise-Induced Angina = 0 (No),Toward no heart disease,0.0
categorical__cp_2 categorical__restecg_2,Chest Pain Type = 2 (Non-anginal pain) x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward no heart disease,0.0
categorical__cp_2 categorical__restecg_1,Chest Pain Type = 2 (Non-anginal pain) x Resting ECG Result = 1 (ST-T wave abnormality),Toward no heart disease,0.0
categorical__cp_2 categorical__restecg_0,Chest Pain Type = 2 (Non-anginal pain) x Resting ECG Result = 0 (Normal),Toward no heart disease,0.0
categorical__cp_2 categorical__fbs_1,Chest Pain Type = 2 (Non-anginal pain) x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward no heart disease,0.0
categorical__cp_2 categorical__fbs_0,Chest Pain Type = 2 (Non-anginal pain) x Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward no heart disease,0.0
categorical__cp_2 categorical__cp_3,Chest Pain Type = 2 (Non-anginal pain) x Chest Pain Type = 3 (Asymptomatic),Toward no heart disease,0.0
categorical__cp_1 categorical__thal_7,Chest Pain Type = 1 (Atypical angina) x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__cp_1 categorical__thal_6,Chest Pain Type = 1 (Atypical angina) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__cp_1 categorical__thal_3,Chest Pain Type = 1 (Atypical angina) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
categorical__cp_1 categorical__thal_2,Chest Pain Type = 1 (Atypical angina) x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
numeric__trestbps,Resting Blood Pressure,Toward no heart disease,0.0
categorical__cp_1 categorical__thal_0,Chest Pain Type = 1 (Atypical angina) x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__cp_1 categorical__ca_4,Chest Pain Type = 1 (Atypical angina) x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__cp_1 categorical__ca_3,Chest Pain Type = 1 (Atypical angina) x Number of Major Vessels = 3,Toward no heart disease,0.0
categorical__cp_1 categorical__ca_2,Chest Pain Type = 1 (Atypical angina) x Number of Major Vessels = 2,Toward no heart disease,0.0
categorical__cp_1 categorical__ca_1,Chest Pain Type = 1 (Atypical angina) x Number of Major Vessels = 1,Toward no heart disease,0.0
categorical__cp_1 categorical__ca_0,Chest Pain Type = 1 (Atypical angina) x Number of Major Vessels = 0,Toward no heart disease,0.0
categorical__cp_1 categorical__slope_3,Chest Pain Type = 1 (Atypical angina) x ST Slope = 3,Toward no heart disease,0.0
categorical__cp_1 categorical__slope_2,Chest Pain Type = 1 (Atypical angina) x ST Slope = 2 (Downsloping),Toward no heart disease,0.0
categorical__cp_1 categorical__slope_1,Chest Pain Type = 1 (Atypical angina) x ST Slope = 1 (Flat),Toward no heart disease,0.0
categorical__cp_1 categorical__slope_0,Chest Pain Type = 1 (Atypical angina) x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
categorical__cp_1 categorical__exang_1,Chest Pain Type = 1 (Atypical angina) x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,0.0
categorical__cp_1 categorical__exang_0,Chest Pain Type = 1 (Atypical angina) x Exercise-Induced Angina = 0 (No),Toward no heart disease,0.0
categorical__sex_1 categorical__thal_1,Sex = 1 (Male) x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__sex_1 categorical__thal_0,Sex = 1 (Male) x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__sex_1 categorical__ca_4,Sex = 1 (Male) x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__sex_1 categorical__ca_3,Sex = 1 (Male) x Number of Major Vessels = 3,Toward no heart disease,0.0
categorical__sex_0 categorical__restecg_1,Sex = 0 (Female) x Resting ECG Result = 1 (ST-T wave abnormality),Toward no heart disease,0.0
categorical__sex_0 categorical__restecg_0,Sex = 0 (Female) x Resting ECG Result = 0 (Normal),Toward no heart disease,0.0
categorical__sex_0 categorical__fbs_1,Sex = 0 (Female) x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward no heart disease,0.0
categorical__sex_0 categorical__fbs_0,Sex = 0 (Female) x Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward no heart disease,0.0
categorical__sex_0 categorical__cp_3,Sex = 0 (Female) x Chest Pain Type = 3 (Asymptomatic),Toward no heart disease,0.0
categorical__sex_0 categorical__cp_2,Sex = 0 (Female) x Chest Pain Type = 2 (Non-anginal pain),Toward no heart disease,0.0
categorical__sex_0 categorical__cp_1,Sex = 0 (Female) x Chest Pain Type = 1 (Atypical angina),Toward no heart disease,0.0
categorical__sex_0 categorical__cp_0,Sex = 0 (Female) x Chest Pain Type = 0 (Typical angina),Toward no heart disease,0.0
categorical__sex_0 categorical__sex_1,Sex = 0 (Female) x Sex = 1 (Male),Toward no heart disease,0.0
numeric__oldpeak categorical__thal_6,Oldpeak x Thalassemia Result = 6,Toward no heart disease,0.0
numeric__oldpeak categorical__thal_3,Oldpeak x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,0.0
numeric__oldpeak categorical__thal_2,Oldpeak x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
numeric__oldpeak categorical__thal_1,Oldpeak x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
numeric__oldpeak categorical__thal_0,Oldpeak x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
numeric__oldpeak categorical__ca_4,Oldpeak x Number of Major Vessels = 4,Toward no heart disease,0.0
numeric__oldpeak categorical__ca_3,Oldpeak x Number of Major Vessels = 3,Toward no heart disease,0.0
numeric__oldpeak categorical__ca_2,Oldpeak x Number of Major Vessels = 2,Toward no heart disease,0.0
numeric__oldpeak categorical__ca_1,Oldpeak x Number of Major Vessels = 1,Toward no heart disease,0.0
numeric__oldpeak categorical__ca_0,Oldpeak x Number of Major Vessels = 0,Toward no heart disease,0.0
numeric__oldpeak categorical__slope_3,Oldpeak x ST Slope = 3,Toward no heart disease,0.0
numeric__oldpeak categorical__slope_0,Oldpeak x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
numeric__oldpeak categorical__exang_1,Oldpeak x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,0.0
numeric__oldpeak categorical__exang_0,Oldpeak x Exercise-Induced Angina = 0 (No),Toward no heart disease,0.0
numeric__oldpeak categorical__restecg_2,Oldpeak x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward no heart disease,0.0
numeric__oldpeak categorical__restecg_0,Oldpeak x Resting ECG Result = 0 (Normal),Toward no heart disease,0.0
numeric__oldpeak categorical__fbs_1,Oldpeak x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward no heart disease,0.0
numeric__oldpeak categorical__fbs_0,Oldpeak x Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward no heart disease,0.0
numeric__oldpeak categorical__cp_2,Oldpeak x Chest Pain Type = 2 (Non-anginal pain),Toward no heart disease,0.0
numeric__oldpeak categorical__cp_1,Oldpeak x Chest Pain Type = 1 (Atypical angina),Toward no heart disease,0.0
categorical__sex_0 categorical__restecg_2,Sex = 0 (Female) x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward no heart disease,0.0
categorical__sex_0 categorical__exang_0,Sex = 0 (Female) x Exercise-Induced Angina = 0 (No),Toward no heart disease,0.0
categorical__sex_0 categorical__exang_1,Sex = 0 (Female) x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,0.0
categorical__sex_1 categorical__cp_2,Sex = 1 (Male) x Chest Pain Type = 2 (Non-anginal pain),Toward no heart disease,0.0
categorical__sex_1 categorical__ca_2,Sex = 1 (Male) x Number of Major Vessels = 2,Toward no heart disease,0.0
categorical__sex_1 categorical__ca_1,Sex = 1 (Male) x Number of Major Vessels = 1,Toward no heart disease,0.0
categorical__sex_1 categorical__ca_0,Sex = 1 (Male) x Number of Major Vessels = 0,Toward no heart disease,0.0
categorical__sex_1 categorical__slope_3,Sex = 1 (Male) x ST Slope = 3,Toward no heart disease,0.0
categorical__sex_1 categorical__slope_2,Sex = 1 (Male) x ST Slope = 2 (Downsloping),Toward no heart disease,0.0
categorical__sex_1 categorical__slope_1,Sex = 1 (Male) x ST Slope = 1 (Flat),Toward no heart disease,0.0
categorical__sex_1 categorical__slope_0,Sex = 1 (Male) x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
categorical__sex_1 categorical__exang_1,Sex = 1 (Male) x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,0.0
categorical__sex_1 categorical__exang_0,Sex = 1 (Male) x Exercise-Induced Angina = 0 (No),Toward no heart disease,0.0
categorical__sex_1 categorical__restecg_1,Sex = 1 (Male) x Resting ECG Result = 1 (ST-T wave abnormality),Toward no heart disease,0.0
categorical__sex_1 categorical__fbs_1,Sex = 1 (Male) x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward no heart disease,0.0
categorical__sex_1 categorical__fbs_0,Sex = 1 (Male) x Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward no heart disease,0.0
categorical__sex_1 categorical__cp_3,Sex = 1 (Male) x Chest Pain Type = 3 (Asymptomatic),Toward no heart disease,0.0
categorical__sex_1 categorical__cp_1,Sex = 1 (Male) x Chest Pain Type = 1 (Atypical angina),Toward no heart disease,0.0
categorical__sex_0 categorical__slope_0,Sex = 0 (Female) x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
categorical__sex_1 categorical__cp_0,Sex = 1 (Male) x Chest Pain Type = 0 (Typical angina),Toward no heart disease,0.0
categorical__sex_0 categorical__thal_7,Sex = 0 (Female) x Thalassemia Result = 7,Toward no heart disease,0.0
categorical__sex_0 categorical__thal_6,Sex = 0 (Female) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__sex_0 categorical__thal_1,Sex = 0 (Female) x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__sex_0 categorical__thal_0,Sex = 0 (Female) x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__sex_0 categorical__ca_4,Sex = 0 (Female) x Number of Major Vessels = 4,Toward no heart disease,0.0
categorical__sex_0 categorical__ca_3,Sex = 0 (Female) x Number of Major Vessels = 3,Toward no heart disease,0.0
categorical__sex_0 categorical__ca_2,Sex = 0 (Female) x Number of Major Vessels = 2,Toward no heart disease,0.0
categorical__sex_0 categorical__ca_1,Sex = 0 (Female) x Number of Major Vessels = 1,Toward no heart disease,0.0
categorical__sex_0 categorical__ca_0,Sex = 0 (Female) x Number of Major Vessels = 0,Toward no heart disease,0.0
categorical__sex_0 categorical__slope_3,Sex = 0 (Female) x ST Slope = 3,Toward no heart disease,0.0
categorical__sex_0 categorical__slope_2,Sex = 0 (Female) x ST Slope = 2 (Downsloping),Toward no heart disease,0.0
categorical__sex_0 categorical__slope_1,Sex = 0 (Female) x ST Slope = 1 (Flat),Toward no heart disease,0.0
categorical__thal_6 categorical__thal_7,Thalassemia Result = 6 x Thalassemia Result = 7,Toward no heart disease,0.0
